iso3,insuff_pa_f,female_activity_rate_pct,sba_pct,gdp_pc,log_gdp_pc,sec_enroll_f
ARE,71.479973,28.520027,100.0,44251.4541398817,10.697643511814364,101.139777479205
ARG,39.275837,60.724163,100.0,9955.97478680428,9.205928131021869,113.60587310791
AUS,27.671347,72.328653,99.0,54972.7017885437,10.91459200988416,139.616836547852
AUT,21.803448,78.196552,98.0,49885.9947355204,10.817495575722525,100.049346923828
AZE,22.968599,77.031401,100.0,4805.75371765917,8.477569170218306,107.552111988747
BDI,14.676105,85.323895,99.0,210.236494521532,5.348233061458284,44.8293939228029
BGD,22.351402,77.64859799999999,59.0,2129.79896954606,7.663782873754545,68.6082490748818
BGR,30.720377,69.279623,92.0,10372.8044341114,9.246942701895517,101.704620361328
BHR,41.70282,58.29718,100.0,27259.7438599327,10.213166309019025,101.991173149954
BHS,46.523663,53.476337,99.0,33640.3369861278,10.423481131460248,80.0
BIH,22.77273,77.22727,100.0,6122.3753450882,8.71970542848646,87.5772018432617
BLR,14.321407,85.678593,100.0,6837.77339645635,8.830217430787368,99.9048197524061
BLZ,46.484695,53.515305,95.0,6190.04792278445,8.730698107617082,88.4514778969396
BOL,26.287237,73.712763,81.0,3503.89601123129,8.161630774455887,88.0304372690611
BRA,43.189312,56.810688,98.0,9029.83326681073,9.108289181878517,106.028106689453
BRB,49.895744,50.104256,98.0,20583.7265786414,9.932256070674825,106.941482543945
BRN,36.193363,63.806637,100.0,30426.5730284202,10.323071618357202,91.2721405029297
BTN,11.44226,88.55774,96.0,3576.87987100503,8.182246154967096,97.6848520202403
BWA,27.557051,72.442949,100.0,7172.08956480028,8.877952322767555,
CAN,37.164848,62.835152,98.0,46352.8693445211,10.744038475108562,111.364883422852
CHL,42.68111,57.31889,100.0,14495.716721687,9.581608486265589,104.032539367676
COL,39.05032,60.94968,99.0,6472.54544924705,8.77532473350093,104.421806335449
CRI,56.763458,43.236542,99.0,12884.6859951947,9.46379475299477,137.081527709961
CUB,68.226143,31.773857000000007,100.0,9232.26115935183,9.130459276839085,101.62084197998
CYP,47.264652,52.735348,100.0,29703.052734375,10.299005105177898,99.23193359375
DEU,12.71818,87.28182,96.0,47623.8656074829,10.771089292879868,97.6850433349609
DMA,37.455914,62.544086,100.0,9491.14995962374,9.158115060197826,103.694158075601
DNK,12.795914,87.204086,96.0,59404.2663247723,10.992121326420907,128.905914306641
DOM,41.298687,58.701313,99.0,8183.01623600375,9.009816094639277,85.3244113670457
ECU,27.329136,72.670864,97.0,6205.05765246766,8.733119988887672,95.28924793166
ESP,26.808926,73.191074,100.0,29786.5245689007,10.301811374547727,120.450668334961
EST,14.993611,85.006389,100.0,24021.2501413306,10.086694140130202,114.590209960938
ETH,12.61242,87.38758,50.0,828.709080522921,6.719869165346455,
FIN,9.7848282,90.2151718,100.0,48358.1807773701,10.78639068568719,151.423095703125
FRA,28.511122,71.488878,98.0,40408.2848574751,10.606790113654695,104.170417785645
GEO,22.607548,77.39245199999999,100.0,4741.2832715876,8.464063110450166,109.182046396768
GRC,36.737797,63.262203,100.0,19335.3602002969,9.869690833311724,104.780532836914
GRD,41.326172,58.673828,100.0,10462.7929159533,9.255580711151664,
GUY,43.258507,56.741493,95.0,6405.82443444562,8.764962923369191,
HND,41.311447,58.688553,94.0,2502.32744328073,7.824976555077984,68.4164123535156
HRV,26.19976,73.80024,100.0,15563.8167397199,9.652704059409055,107.940246582031
IDN,16.153193,83.846807,95.0,4106.94856160358,8.320435589311186,95.9420767172654
IRL,26.625698,73.374302,100.0,81810.1926481407,11.31215711932884,144.521484375
ISL,28.817585,71.18241499999999,98.0,68452.23622306,11.133891499621383,110.045211791992
ISR,30.024265,69.975735,100.0,44250.6313628073,10.697624918420328,96.8821868896484
ITA,44.526688,55.473312,100.0,33812.788724868,10.428594374550325,100.929710388184
JAM,43.953671,56.046329,100.0,5607.24299266608,8.63181443256043,86.3051320241406
JPN,46.927483,53.072517,100.0,40415.9567649547,10.60697995539892,102.681167602539
KNA,47.292816,52.707184,100.0,23595.4923231291,10.068810969513015,112.30303030303
KWT,64.737053,35.262947,100.0,31707.8737464917,10.364320312193465,
LAO,21.875347,78.124653,69.0,2589.32081035237,7.859150884918687,62.7755100424821
LCA,24.763212,75.236788,100.0,11794.0597229805,9.375351270391999,88.6840362548828
LTU,20.388735,79.611265,100.0,19608.7943945553,9.883733438185496,102.356819152832
LVA,14.819188,85.180812,98.0,17294.9751600969,9.758171285122588,107.570869445801
MDA,10.403444,89.59655599999999,100.0,4405.33418162155,8.390571399652002,95.0363793316069
MEX,29.412821,70.58717899999999,89.0,10369.5553585271,9.246629422630924,110.386650085449
MLT,46.196564,53.803436,100.0,32421.9179753188,10.386589953790194,105.412406921387
MUS,33.557995,66.442005,100.0,11403.2527870674,9.34165392588199,94.0894965817278
NOR,37.815254,62.184746,99.0,76430.5889473338,11.244138273916175,116.849769592285
NZL,20.248358,79.751642,97.0,42779.2298164101,10.66380797911786,123.941261291504
OMN,48.343723,51.656277,99.0,19180.1864152801,9.861633067643591,101.22554053215
PAK,54.013084,45.986916,74.0,1390.41690981745,7.237358916273659,35.5736865644319
PAN,63.47279,36.52721,95.0,16477.9066285687,9.709775770429617,
PER,35.402142,64.597858,94.0,7037.00803692604,8.858938364061398,98.8904113769531
PLW,36.297043,63.702957,100.0,15841.1956399595,9.670369144840445,
POL,35.990753,64.009247,100.0,15874.5220531254,9.672470716417932,108.760276794434
PRT,55.356335,44.643665,100.0,23343.3628970034,10.058067978452309,120.158042907715
PRY,37.499477,62.500523,92.0,5821.18199548637,8.669258612113062,
QAT,62.22691,37.77309,100.0,66841.3013484919,11.1100764521262,106.114051818848
ROU,34.068836,65.931164,92.0,12992.0326104674,9.472091572440442,86.5128479003906
RUS,16.869455,83.130545,100.0,11447.701171875,9.345544217809904,99.6904540870663
SAU,59.546452,40.453548,95.0,29566.7933827436,10.294407165395246,104.201619656228
SEN,21.928219,78.071781,75.0,1431.18128932159,7.2662554586892565,47.6122826558931
SGP,22.195824,77.804176,100.0,65952.0378959293,11.096683058288658,104.181057515607
SLE,17.399027,82.600973,87.0,844.049555179116,6.738211207539518,60.979808807373
SLV,44.056282,55.943718,100.0,4320.11671534627,8.371037698314458,66.123873218959
SRB,48.986687,51.013313,100.0,7755.632986437,8.956174695288947,94.9925765991211
STP,21.835737,78.164263,97.0,1935.2931816596,7.568014109056194,
SVK,24.446232,75.553768,98.0,19406.0589683582,9.873340614246928,92.1884994506836
SYC,20.997673,79.00232700000001,99.0,19141.5118743615,9.859614652188395,100.954458685574
TCD,19.582626,80.417374,47.0,893.336441643325,6.794963264282223,14.1967132658225
THA,27.351963,72.648037,99.0,7605.69657797759,8.936652795236206,85.5828342157346
TJK,42.885235,57.114765,99.0,871.022372934846,6.769667663014971,
TKM,13.683921,86.316079,100.0,6648.0348960628,8.802076585628427,85.1072153533862
TON,37.800957,62.199043,98.0,4676.84802517145,8.450379663114438,101.290988897495
TUR,52.745747,47.254253,97.0,9215.44049888114,9.12863567133594,110.276336669922
URY,35.946098,64.053902,100.0,18315.7316980028,9.815515625165808,126.343617174679
USA,39.062778,60.937222,99.0,65227.9565911038,11.085643438086125,99.189453125
UZB,31.921282,68.078718,100.0,2041.38480729431,7.621383683644413,96.2599029541016
VCT,38.591156,61.408844,100.0,8740.59425232061,9.075733458594575,
ZWE,21.189667,78.810333,86.0,1683.91313584141,7.428875611429954,
